"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"231007_at"	"3.88e-14"	"2.26e-18"	"28.349313"	"30.6583427"	"7.7380354"	""	""
"239805_at"	"3.88e-14"	"3.43e-18"	"-27.782727"	"30.3274145"	"-6.1334331"	"SLC13A2"	"solute carrier family 13 member 2"
"244890_at"	"9.72e-14"	"1.29e-17"	"-26.060222"	"29.2603455"	"-6.204855"	""	""
"226553_at"	"2.44e-13"	"4.30e-17"	"-24.576853"	"28.2612854"	"-4.4081199"	"TMPRSS2"	"transmembrane protease, serine 2"
"240183_at"	"6.28e-13"	"1.39e-16"	"-23.214355"	"27.2709979"	"-6.4173152"	"TMEM213"	"transmembrane protein 213"
"227642_at"	"5.22e-12"	"1.38e-15"	"-20.739056"	"25.2692647"	"-4.9671475"	"TFCP2L1"	"transcription factor CP2-like 1"
"230030_at"	"1.61e-11"	"5.66e-15"	"-19.343024"	"24.0086509"	"-6.3758834"	"HS6ST2"	"heparan sulfate 6-O-sulfotransferase 2"
"237108_x_at"	"1.61e-11"	"6.24e-15"	"-19.250166"	"23.9210685"	"-4.5765648"	"LINC00982"	"long intergenic non-protein coding RNA 982"
"239593_at"	"1.61e-11"	"6.39e-15"	"-19.227129"	"23.8992649"	"-4.3744155"	"TMEM213"	"transmembrane protein 213"
"226597_at"	"2.67e-11"	"1.18e-14"	"-18.649227"	"23.3423556"	"-5.070358"	"REEP6"	"receptor accessory protein 6"
"228581_at"	"1.13e-10"	"5.51e-14"	"-17.26611"	"21.9272953"	"-4.9985992"	"KCNJ10"	"potassium voltage-gated channel subfamily J member 10"
"236646_at"	"1.59e-10"	"8.44e-14"	"-16.899894"	"21.5318887"	"-5.9334677"	"TMEM52B"	"transmembrane protein 52B"
"223704_s_at"	"1.71e-10"	"9.79e-14"	"-16.77328"	"21.3930519"	"-4.0603032"	"DMRT2"	"doublesex and mab-3 related transcription factor 2"
"231352_at"	"1.74e-10"	"1.07e-13"	"-16.695211"	"21.3068915"	"-5.1869226"	"SLC22A8"	"solute carrier family 22 member 8"
"231068_at"	"2.13e-10"	"1.41e-13"	"-16.467922"	"21.0536061"	"-3.7127104"	"SLC47A2"	"solute carrier family 47 member 2"
"229740_at"	"2.57e-10"	"1.82e-13"	"-16.256651"	"20.8148629"	"-2.7131564"	"SMIM5"	"small integral membrane protein 5"
"230565_at"	"2.73e-10"	"2.05e-13"	"-16.157612"	"20.7018298"	"-3.6266407"	"ATP6V1G3"	"ATPase H+ transporting V1 subunit G3"
"233183_at"	"4.66e-10"	"3.70e-13"	"-15.680182"	"20.146726"	"-5.7681989"	"SLC4A9"	"solute carrier family 4 member 9"
"222847_s_at"	"4.92e-10"	"4.13e-13"	"15.593111"	"20.0436274"	"5.5062358"	"EGLN3"	"egl-9 family hypoxia inducible factor 3"
"226452_at"	"5.06e-10"	"4.47e-13"	"15.529546"	"19.9679913"	"3.2615379"	"PDK1"	"pyruvate dehydrogenase kinase 1"
"242372_s_at"	"7.22e-10"	"6.69e-13"	"-15.212908"	"19.5865156"	"-6.0823949"	"MFSD4A"	"major facilitator superfamily domain containing 4A"
"242998_at"	"7.41e-10"	"7.20e-13"	"-15.156685"	"19.5179491"	"-3.9004181"	"RDH12"	"retinol dehydrogenase 12 (all-trans/9-cis/11-cis)"
"228233_at"	"7.60e-10"	"7.72e-13"	"-15.102194"	"19.4512519"	"-4.4547431"	"FREM1"	"FRAS1 related extracellular matrix 1"
"231683_at"	"1.16e-09"	"1.23e-12"	"-14.744215"	"19.0070667"	"-2.6246715"	"GLYAT"	"glycine-N-acyltransferase"
"231623_at"	"1.20e-09"	"1.32e-12"	"-14.690346"	"18.9393082"	"-3.283654"	"TMEM174"	"transmembrane protein 174"
"242269_at"	"1.49e-09"	"1.71e-12"	"-14.496649"	"18.6936482"	"-3.311938"	"LINC00982"	"long intergenic non-protein coding RNA 982"
"225353_s_at"	"1.52e-09"	"1.90e-12"	"14.42021"	"18.595826"	"3.4044347"	"C1QC"	"complement C1q C chain"
"238248_at"	"1.52e-09"	"1.90e-12"	"-14.418472"	"18.5935956"	"-3.7585335"	""	""
"243562_at"	"1.52e-09"	"1.95e-12"	"-14.400367"	"18.5703498"	"-5.4244414"	"KNG1"	"kininogen 1"
"227560_at"	"1.86e-09"	"2.46e-12"	"-14.227286"	"18.3466889"	"-2.3477632"	"SFXN2"	"sideroflexin 2"
"224927_at"	"2.68e-09"	"3.67e-12"	"13.935386"	"17.9635263"	"2.5697194"	"PPP1R18"	"protein phosphatase 1 regulatory subunit 18"
"228740_at"	"2.90e-09"	"4.10e-12"	"-13.854624"	"17.8561695"	"-3.5116186"	""	""
"227241_at"	"3.65e-09"	"5.32e-12"	"-13.668707"	"17.6067785"	"-5.0567209"	"MUC15"	"mucin 15, cell surface associated"
"230406_at"	"4.21e-09"	"6.32e-12"	"-13.545665"	"17.4399799"	"-3.0588449"	""	""
"237587_at"	"4.77e-09"	"7.37e-12"	"-13.437607"	"17.2923322"	"-4.1257975"	""	""
"236630_at"	"4.79e-09"	"7.79e-12"	"-13.398383"	"17.2384655"	"-5.4262864"	"AQP2"	"aquaporin 2"
"244044_at"	"4.79e-09"	"7.83e-12"	"13.395014"	"17.2338324"	"3.233623"	""	""
"227908_at"	"5.32e-09"	"8.93e-12"	"-13.303574"	"17.1076636"	"-2.0289007"	"TBC1D24"	"TBC1 domain family member 24"
"230710_at"	"6.11e-09"	"1.05e-11"	"13.189165"	"16.9486772"	"3.2881983"	"MIR210HG"	"MIR210 host gene"
"231156_at"	"6.45e-09"	"1.14e-11"	"-13.133869"	"16.8713857"	"-2.7790015"	"HAO2"	"hydroxyacid oxidase 2"
"242275_at"	"7.41e-09"	"1.34e-11"	"-13.021428"	"16.7133039"	"-4.0616477"	""	""
"227112_at"	"7.61e-09"	"1.41e-11"	"12.986912"	"16.6645304"	"2.2730671"	"TMCC1"	"transmembrane and coiled-coil domain family 1"
"239006_at"	"7.63e-09"	"1.45e-11"	"-12.968965"	"16.6391231"	"-5.9004635"	"SLC26A7"	"solute carrier family 26 member 7"
"227450_at"	"8.00e-09"	"1.55e-11"	"-12.921206"	"16.5713587"	"-2.3372962"	"ERP27"	"endoplasmic reticulum protein 27"
"226348_at"	"1.02e-08"	"2.02e-11"	"12.742454"	"16.3157214"	"2.3858023"	"FUT11"	"fucosyltransferase 11"
"231634_at"	"1.17e-08"	"2.37e-11"	"-12.636838"	"16.163173"	"-3.1818604"	"SLC12A3"	"solute carrier family 12 member 3"
"224998_at"	"1.24e-08"	"2.59e-11"	"-12.575661"	"16.074295"	"-1.9291888"	"CMTM4"	"CKLF like MARVEL transmembrane domain containing 4"
"231376_at"	"1.24e-08"	"2.67e-11"	"-12.556766"	"16.0467668"	"-4.5282492"	"UPP2"	"uridine phosphorylase 2"
"229341_at"	"1.24e-08"	"2.68e-11"	"-12.554575"	"16.0435719"	"-6.1147451"	"TFCP2L1"	"transcription factor CP2-like 1"
"229177_at"	"1.36e-08"	"3.00e-11"	"-12.478172"	"15.9318735"	"-4.0638119"	"C16orf89"	"chromosome 16 open reading frame 89"
"236225_at"	"1.59e-08"	"3.59e-11"	"-12.360694"	"15.7589498"	"-4.6646"	"GGT6"	"gamma-glutamyltransferase 6"
"229916_at"	"1.71e-08"	"3.92e-11"	"-12.302974"	"15.6734627"	"-3.0265549"	"ENPP6"	"ectonucleotide pyrophosphatase/phosphodiesterase 6"
"239587_at"	"1.71e-08"	"4.00e-11"	"12.289533"	"15.6535064"	"2.281041"	"TLR3"	"toll like receptor 3"
"227354_at"	"1.73e-08"	"4.13e-11"	"12.267746"	"15.6211174"	"2.3897396"	"PAG1"	"phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"223582_at"	"1.81e-08"	"4.39e-11"	"-12.228494"	"15.562639"	"-4.5555149"	"ADGRV1"	"adhesion G protein-coupled receptor V1"
"240033_at"	"1.81e-08"	"4.47e-11"	"-12.216075"	"15.5441036"	"-4.3992373"	"PLG"	"plasminogen"
"238327_at"	"1.82e-08"	"4.58e-11"	"12.200759"	"15.5212209"	"2.2382831"	"ODF3B"	"outer dense fiber of sperm tails 3B"
"229937_x_at"	"1.83e-08"	"4.68e-11"	"12.186935"	"15.5005473"	"4.2147328"	""	""
"229529_at"	"1.93e-08"	"5.04e-11"	"-12.138791"	"15.4283896"	"-3.7794297"	"TCF21"	"transcription factor 21"
"227480_at"	"2.19e-08"	"5.80e-11"	"-12.046913"	"15.2899978"	"-3.038608"	"SUSD2"	"sushi domain containing 2"
"225414_at"	"2.25e-08"	"6.06e-11"	"12.019456"	"15.2484664"	"1.5383832"	"RNF149"	"ring finger protein 149"
"231358_at"	"2.35e-08"	"6.42e-11"	"-11.981481"	"15.1908923"	"-4.1226268"	"MRO"	"maestro"
"230687_at"	"2.43e-08"	"6.76e-11"	"-11.948224"	"15.1403433"	"-3.7213669"	"SLC13A3"	"solute carrier family 13 member 3"
"223610_at"	"2.44e-08"	"6.91e-11"	"11.934867"	"15.1200069"	"2.3308319"	"SEMA5B"	"semaphorin 5B"
"238287_at"	"2.52e-08"	"7.24e-11"	"-11.904379"	"15.0735181"	"-3.7693828"	"SLC7A13"	"solute carrier family 7 member 13"
"222938_x_at"	"2.61e-08"	"7.71e-11"	"11.864418"	"15.0124303"	"2.7168767"	"ENPP3"	"ectonucleotide pyrophosphatase/phosphodiesterase 3"
"234314_at"	"2.61e-08"	"7.73e-11"	"-11.862626"	"15.0096868"	"-4.7717291"	"RALGAPA2"	"Ral GTPase activating protein catalytic alpha subunit 2"
"226347_at"	"2.64e-08"	"7.94e-11"	"11.845899"	"14.9840623"	"2.3808941"	""	""
"226030_at"	"2.71e-08"	"8.27e-11"	"-11.819842"	"14.944085"	"-2.0081788"	"ACADSB"	"acyl-CoA dehydrogenase, short/branched chain"
"236892_s_at"	"2.85e-08"	"8.81e-11"	"-11.779496"	"14.8820373"	"-3.4885959"	"HOXB-AS3"	"HOXB cluster antisense RNA 3"
"242601_at"	"2.99e-08"	"9.37e-11"	"-11.740805"	"14.822366"	"-3.1791985"	"HEPACAM2"	"HEPACAM family member 2"
"231540_at"	"3.05e-08"	"9.68e-11"	"-11.71975"	"14.7898255"	"-2.6660176"	"LOC100130691"	"uncharacterized LOC100130691"
"226961_at"	"3.47e-08"	"1.12e-10"	"-11.628724"	"14.6485815"	"-2.3749668"	"PRR15"	"proline rich 15"
"230925_at"	"3.86e-08"	"1.26e-10"	"11.552838"	"14.5301262"	"3.7786867"	"APBB1IP"	"amyloid beta precursor protein binding family B member 1 interacting protein"
"236723_at"	"3.95e-08"	"1.31e-10"	"11.52997"	"14.4943045"	"2.3168993"	""	""
"242375_x_at"	"4.06e-08"	"1.36e-10"	"-11.505163"	"14.4553798"	"-3.3214796"	"LOC101929036///PAH"	"uncharacterized LOC101929036///phenylalanine hydroxylase"
"225775_at"	"4.42e-08"	"1.50e-10"	"-11.443447"	"14.3582387"	"-1.8309815"	"TSPAN33"	"tetraspanin 33"
"225799_at"	"4.56e-08"	"1.57e-10"	"11.415975"	"14.3148586"	"2.0568255"	"LOC101930489///MIR4435-2HG///LINC00152"	"uncharacterized LOC101930489///MIR4435-2 host gene///long intergenic non-protein coding RNA 152"
"243366_s_at"	"5.20e-08"	"1.81e-10"	"11.327253"	"14.174179"	"3.0750093"	"ITGA4"	"integrin subunit alpha 4"
"224179_s_at"	"6.23e-08"	"2.23e-10"	"-11.201683"	"13.9735378"	"-3.6657828"	"MIOX"	"myo-inositol oxygenase"
"242871_at"	"6.23e-08"	"2.23e-10"	"-11.201205"	"13.9727699"	"-1.8740283"	"PAQR5"	"progestin and adipoQ receptor family member 5"
"243276_at"	"6.35e-08"	"2.30e-10"	"-11.181856"	"13.9416911"	"-2.7439596"	"ALS2CL"	"ALS2 C-terminal like"
"225778_at"	"6.38e-08"	"2.34e-10"	"11.17182"	"13.9255544"	"2.9678023"	"RBMS2"	"RNA binding motif single stranded interacting protein 2"
"236652_at"	"7.23e-08"	"2.68e-10"	"-11.087923"	"13.7901971"	"-2.9105093"	"LOC149703"	"uncharacterized LOC149703"
"227167_s_at"	"7.23e-08"	"2.71e-10"	"11.081112"	"13.7791722"	"2.0493005"	"RASSF3"	"Ras association domain family member 3"
"224870_at"	"8.52e-08"	"3.24e-10"	"-10.974642"	"13.606131"	"-1.8734003"	"DANCR"	"differentiation antagonizing non-protein coding RNA"
"222592_s_at"	"8.84e-08"	"3.39e-10"	"10.945646"	"13.5587739"	"3.2612238"	"ACSL5"	"acyl-CoA synthetase long-chain family member 5"
"225710_at"	"9.73e-08"	"3.78e-10"	"10.880667"	"13.4522899"	"1.9350933"	"GNB4"	"G protein subunit beta 4"
"232617_at"	"9.86e-08"	"3.88e-10"	"10.865829"	"13.4279046"	"2.0042723"	"CTSS"	"cathepsin S"
"225043_at"	"9.86e-08"	"3.96e-10"	"10.852721"	"13.4063395"	"1.8576421"	"SLC15A4"	"solute carrier family 15 member 4"
"235529_x_at"	"9.86e-08"	"4.05e-10"	"10.840087"	"13.3855353"	"1.8000403"	"SAMHD1"	"SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1"
"223075_s_at"	"9.86e-08"	"4.05e-10"	"-10.839567"	"13.3846792"	"-1.8405441"	"AIF1L"	"allograft inflammatory factor 1 like"
"224356_x_at"	"9.86e-08"	"4.06e-10"	"10.838823"	"13.3834542"	"3.1972812"	"MS4A6A"	"membrane spanning 4-domains A6A"
"229254_at"	"9.86e-08"	"4.09e-10"	"-10.83339"	"13.3745002"	"-3.4362478"	"MFSD4A"	"major facilitator superfamily domain containing 4A"
"237582_at"	"1.06e-07"	"4.44e-10"	"-10.784374"	"13.2935685"	"-3.1855663"	""	""
"236374_at"	"1.07e-07"	"4.53e-10"	"-10.772484"	"13.2738936"	"-2.8111989"	"CTXN3"	"cortexin 3"
