"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"209228_x_at"	"1.33e-18"	"5.96e-23"	"1.93e+01"	"41.679824"	"3.69"	"TUSC3"	"tumor suppressor candidate 3"
"214735_at"	"1.49e-18"	"1.34e-22"	"-1.89e+01"	"40.917167"	"-4.87"	"IPCEF1"	"interaction protein for cytohesin exchange factors 1"
"203510_at"	"2.50e-18"	"3.36e-22"	"1.85e+01"	"40.044895"	"3.10"	"MET"	"MET proto-oncogene, receptor tyrosine kinase"
"209470_s_at"	"3.61e-18"	"6.49e-22"	"-1.81e+01"	"39.421961"	"-3.32"	"GPM6A"	"glycoprotein M6A"
"203256_at"	"3.66e-18"	"8.22e-22"	"1.80e+01"	"39.197145"	"4.78"	"CDH3"	"cadherin 3"
"202528_at"	"7.30e-18"	"1.97e-21"	"1.76e+01"	"38.367301"	"3.48"	"GALE"	"UDP-galactose-4-epimerase"
"210495_x_at"	"1.31e-17"	"4.11e-21"	"1.73e+01"	"37.665556"	"3.91"	"FN1"	"fibronectin 1"
"216442_x_at"	"2.61e-17"	"9.37e-21"	"1.69e+01"	"36.877655"	"3.92"	"FN1"	"fibronectin 1"
"202833_s_at"	"5.44e-17"	"2.20e-20"	"1.65e+01"	"36.060526"	"4.93"	"SERPINA1"	"serpin family A member 1"
"212464_s_at"	"7.13e-17"	"3.20e-20"	"1.64e+01"	"35.701098"	"3.90"	"FN1"	"fibronectin 1"
"211478_s_at"	"7.84e-17"	"3.87e-20"	"1.63e+01"	"35.51888"	"4.59"	"DPP4"	"dipeptidyl peptidase 4"
"203716_s_at"	"1.36e-16"	"7.35e-20"	"1.60e+01"	"34.902776"	"4.95"	"DPP4"	"dipeptidyl peptidase 4"
"211719_x_at"	"1.36e-16"	"7.95e-20"	"1.60e+01"	"34.826336"	"3.81"	"FN1"	"fibronectin 1"
"203717_at"	"1.69e-16"	"1.06e-19"	"1.59e+01"	"34.546996"	"3.84"	"DPP4"	"dipeptidyl peptidase 4"
"205413_at"	"2.66e-16"	"1.79e-19"	"-1.56e+01"	"34.045262"	"-5.04"	"MPPED2"	"metallophosphoesterase domain containing 2"
"213423_x_at"	"3.54e-16"	"2.55e-19"	"1.55e+01"	"33.70622"	"3.75"	"TUSC3"	"tumor suppressor candidate 3"
"205016_at"	"4.79e-16"	"3.65e-19"	"1.53e+01"	"33.357806"	"3.83"	"TGFA"	"transforming growth factor alpha"
"211429_s_at"	"5.60e-16"	"4.52e-19"	"1.52e+01"	"33.151444"	"4.31"	"SERPINA1"	"serpin family A member 1"
"209270_at"	"5.93e-16"	"5.06e-19"	"1.52e+01"	"33.043117"	"4.46"	"LAMB3"	"laminin subunit beta 3"
"206765_at"	"6.24e-16"	"5.60e-19"	"1.52e+01"	"32.944551"	"4.37"	"KCNJ2"	"potassium voltage-gated channel subfamily J member 2"
"200701_at"	"6.84e-16"	"6.45e-19"	"1.51e+01"	"32.808836"	"1.64"	"NPC2"	"NPC intracellular cholesterol transporter 2"
"205221_at"	"3.93e-15"	"3.88e-18"	"-1.44e+01"	"31.071793"	"-4.43"	"HGD"	"homogentisate 1,2-dioxygenase"
"219029_at"	"1.33e-14"	"1.37e-17"	"-1.39e+01"	"29.847014"	"-1.72"	"TMEM267"	"transmembrane protein 267"
"209469_at"	"1.64e-14"	"1.77e-17"	"-1.38e+01"	"29.597921"	"-3.89"	"GPM6A"	"glycoprotein M6A"
"218313_s_at"	"2.21e-14"	"2.48e-17"	"1.37e+01"	"29.270382"	"2.54"	"GALNT7"	"polypeptide N-acetylgalactosaminyltransferase 7"
"222173_s_at"	"2.98e-14"	"3.54e-17"	"1.35e+01"	"28.923394"	"2.56"	"TBC1D2"	"TBC1 domain family member 2"
"206884_s_at"	"2.98e-14"	"3.61e-17"	"1.35e+01"	"28.903299"	"3.81"	"SCEL"	"sciellin"
"218182_s_at"	"3.83e-14"	"4.81e-17"	"1.34e+01"	"28.623957"	"4.05"	"CLDN1"	"claudin 1"
"202701_at"	"8.78e-14"	"1.14e-16"	"1.31e+01"	"27.781377"	"1.51"	"BMP1"	"bone morphogenetic protein 1"
"203685_at"	"9.42e-14"	"1.27e-16"	"-1.30e+01"	"27.679675"	"-2.50"	"BCL2"	"BCL2, apoptosis regulator"
"204623_at"	"1.01e-13"	"1.41e-16"	"-1.30e+01"	"27.575155"	"-6.23"	"TFF3"	"trefoil factor 3"
"219877_at"	"1.18e-13"	"1.69e-16"	"-1.29e+01"	"27.397052"	"-2.96"	"ZMAT4"	"zinc finger matrin-type 4"
"211599_x_at"	"1.22e-13"	"1.81e-16"	"1.29e+01"	"27.330466"	"3.26"	"MET"	"MET proto-oncogene, receptor tyrosine kinase"
"211564_s_at"	"1.25e-13"	"1.91e-16"	"1.29e+01"	"27.281124"	"4.47"	"PDLIM4"	"PDZ and LIM domain 4"
"213807_x_at"	"1.53e-13"	"2.40e-16"	"1.28e+01"	"27.057504"	"2.86"	"MET"	"MET proto-oncogene, receptor tyrosine kinase"
"212850_s_at"	"1.58e-13"	"2.55e-16"	"1.28e+01"	"26.999467"	"5.32"	"LRP4"	"LDL receptor related protein 4"
"220723_s_at"	"1.67e-13"	"2.78e-16"	"-1.27e+01"	"26.913592"	"-2.31"	"CWH43"	"cell wall biogenesis 43 C-terminal homolog"
"202119_s_at"	"2.38e-13"	"4.06e-16"	"-1.26e+01"	"26.544344"	"-1.00"	"CPNE3"	"copine 3"
"203780_at"	"2.58e-13"	"4.51e-16"	"1.26e+01"	"26.441194"	"2.66"	"MPZL2"	"myelin protein zero like 2"
"202733_at"	"4.52e-13"	"8.21e-16"	"1.23e+01"	"25.855238"	"1.91"	"LOC101927705///P4HA2"	"uncharacterized LOC101927705///prolyl 4-hydroxylase subunit alpha 2"
"202286_s_at"	"4.52e-13"	"8.36e-16"	"1.23e+01"	"25.836824"	"5.38"	"TACSTD2"	"tumor-associated calcium signal transducer 2"
"218826_at"	"4.52e-13"	"8.52e-16"	"1.23e+01"	"25.81917"	"1.73"	"SLC35F2"	"solute carrier family 35 member F2"
"221185_s_at"	"5.28e-13"	"1.02e-15"	"-1.23e+01"	"25.643635"	"-1.63"	"IQCG"	"IQ motif containing G"
"208025_s_at"	"5.32e-13"	"1.05e-15"	"1.23e+01"	"25.614582"	"5.02"	"HMGA2"	"high mobility group AT-hook 2"
"218309_at"	"5.42e-13"	"1.10e-15"	"1.22e+01"	"25.564735"	"3.25"	"CAMK2N1"	"calcium/calmodulin dependent protein kinase II inhibitor 1"
"203779_s_at"	"5.42e-13"	"1.12e-15"	"1.22e+01"	"25.55225"	"1.94"	"MPZL2"	"myelin protein zero like 2"
"205051_s_at"	"7.63e-13"	"1.61e-15"	"-1.21e+01"	"25.196783"	"-4.74"	"KIT"	"KIT proto-oncogene receptor tyrosine kinase"
"218368_s_at"	"9.61e-13"	"2.07e-15"	"1.20e+01"	"24.950107"	"3.19"	"TNFRSF12A"	"TNF receptor superfamily member 12A"
"218653_at"	"1.02e-12"	"2.29e-15"	"-1.20e+01"	"24.850917"	"-3.37"	"SLC25A15"	"solute carrier family 25 member 15"
"204124_at"	"1.02e-12"	"2.29e-15"	"1.20e+01"	"24.849854"	"4.81"	"SLC34A2"	"solute carrier family 34 member 2"
"203058_s_at"	"1.08e-12"	"2.46e-15"	"-1.19e+01"	"24.780212"	"-3.29"	"PAPSS2"	"3'-phosphoadenosine 5'-phosphosulfate synthase 2"
"208161_s_at"	"1.11e-12"	"2.58e-15"	"1.19e+01"	"24.734348"	"2.95"	"ABCC3"	"ATP binding cassette subfamily C member 3"
"214175_x_at"	"1.37e-12"	"3.26e-15"	"1.18e+01"	"24.504413"	"3.28"	"PDLIM4"	"PDZ and LIM domain 4"
"205357_s_at"	"1.42e-12"	"3.43e-15"	"-1.18e+01"	"24.453618"	"-3.39"	"AGTR1"	"angiotensin II receptor type 1"
"209515_s_at"	"1.64e-12"	"4.04e-15"	"1.18e+01"	"24.294848"	"2.27"	"RAB27A"	"RAB27A, member RAS oncogene family"
"203908_at"	"1.70e-12"	"4.30e-15"	"-1.18e+01"	"24.232856"	"-4.88"	"SLC4A4"	"solute carrier family 4 member 4"
"217127_at"	"1.70e-12"	"4.34e-15"	"-1.17e+01"	"24.224986"	"-2.34"	"CTH"	"cystathionine gamma-lyase"
"209514_s_at"	"1.80e-12"	"4.71e-15"	"1.17e+01"	"24.144871"	"2.39"	"RAB27A"	"RAB27A, member RAS oncogene family"
"203222_s_at"	"1.80e-12"	"4.78e-15"	"-1.17e+01"	"24.12992"	"-1.97"	"TLE1"	"transducin like enhancer of split 1"
"205481_at"	"2.08e-12"	"5.67e-15"	"1.17e+01"	"23.962332"	"3.16"	"ADORA1"	"adenosine A1 receptor"
"204917_s_at"	"2.08e-12"	"5.69e-15"	"-1.17e+01"	"23.959334"	"-1.83"	"MLLT3"	"MLLT3, super elongation complex subunit"
